Id,Week_Num,Season
1,1,2020
2,2,2020
3,3,2020
4,4,2020
5,5,2020
6,6,2020
7,7,2020
8,8,2020
9,9,2020
10,10,2020
11,11,2020
12,12,2020
13,13,2020
14,14,2020
15,15,2020
16,16,2020
17,17,2020
18,1,2021
19,2,2021
20,3,2021
21,4,2021
22,5,2021
23,6,2021
24,7,2021
25,8,2021
26,9,2021
27,10,2021
28,11,2021
29,12,2021
30,13,2021
31,14,2021
32,15,2021
33,16,2021
34,17,2021
35,18,2021
36,1,2022
37,2,2022
38,3,2022
39,4,2022
40,5,2022
41,6,2022
42,7,2022
43,8,2022
44,9,2022
45,10,2022
46,11,2022
47,12,2022
48,13,2022
49,14,2022
50,15,2022
51,16,2022
52,17,2022
53,18,2022
54,1,2023
55,2,2023
56,3,2023
57,4,2023
58,5,2023
59,6,2023
60,7,2023
61,8,2023
62,9,2023
63,10,2023
64,11,2023
65,12,2023
66,13,2023
67,14,2023
68,15,2023
69,16,2023
70,17,2023
71,18,2023
